fo_name,fo_type,website,hq_city,hq_country,hq_region,description,source_url,confidence_score
Family Offices,SFO,https://bbh.com/,New York,United States,North America,"Philip Warner. Principal, Office Head, Single Family Office and International. New York City, NY | USA. Email Call.Read more",https://www.bbh.com/us/en/what-we-do/capital-partners/multi-family-office/who-we-work-with/family-offices.html,65
Single Family Office: Private Wealth Management,SFO,https://morganstanley.com/,,,Other,Single Family Office Governance and Compensation Report. Wealth Management. Morgan Stanley Family Office. Wealth Management. Wealth Transfer. Private Wealth ...Read more,https://www.morganstanley.com/what-we-do/wealth-management/private-wealth-management/single-family-offices,85
2025 Investment Insights for Single Family Offices,SFO,https://info.wealth.bny.com/,,,Other,The statistics in this report reflect the feedback of 282 single family office respondents surveyed and they do not reflect the views of BNY. Certain ...Read more,https://info.wealth.bny.com/rs/636-GOT-884/images/BNYW_2025_Investment_Insights_Single_Family_Offices_Report.pdf,65
Family Office Wealth Management Solutions,Unknown,https://creativeplanning.com/,,,Other,"Learn what a single-family office is, how it works, key structures, costs, and steps to set one up. Two financial professionals in suits reviewing information ...Read more",https://creativeplanning.com/family-office/,65
Sentinel Family Office,SFO,https://sequoia-financial.com/,,,Other,Sentinel Family Office works with families seeking a Multi-Family Office solution as well as Single Family Office clients.Read more,https://www.sequoia-financial.com/family-office/,65
Family Office Wealth Management,SFO,https://privatebank.jpmorgan.com/,,,Other,"Family Office Services Jan 29, 2026. Multi-family vs. single family office. mage_FamilyOffice_Web. Family Office Feb 6, 2026. The why, who ...Read more",https://privatebank.jpmorgan.com/nam/en/who-we-serve/family-office,75
Family Offices,SFO,https://hklaw.com/,,,Other,"... family office, creating a single family office or even a private trust company. ... The family office manages billions of dollars in investments.Read more",https://www.hklaw.com/en/services/practices/private-wealth-services/family-offices,65
Family Office Wealth Management,SFO,https://merceradvisors.com/,,,Other,"In 1882, J.D. Rockefeller established the first full-service single family office in the US. ... Ready to join your family office? Let's Talk. Explore More.Read more",https://www.merceradvisors.com/why-us/family-office/,75
Single family office services,SFO,https://iqeq.com/,,,Other,Our single family office services. We can support you with: Family office establishment and administration; Legal and tax advice liaison and stewardship; Asset ...Read more,https://iqeq.com/services/single-family-office-services/,65
"Single Family Office, Wealth Management, Legacy",SFO,https://asenaadvisors.com/,,,Other,"A single family office helps manage wealth for one family with full control, privacy, and tailored solutions. Learn how it supports lasting ...",https://asenaadvisors.com/blog/single-family-office/,67
A 7,SFO,https://mercer.com/,,,Other,The investment beliefs of a single family office should embody the needs ... 7 steps for managing your investments. 1. Define your parameters. Clear ...Read more,https://www.mercer.com/insights/investments/portfolio-strategies/guide-to-single-family-office-investment/,65
Family Office and UHNW,SFO,https://ubs.com/,,,Other,Personalized investment and family wealth solutions · Virtual Family Office solutions · Single Family Office setup advisory · Single Family Office ...Read more,https://www.ubs.com/global/en/wealthmanagement/family-office-uhnw.html,75
Single Family Office Summit 2025,SFO,https://familyoffices.com/,,,Other,"Our Single Family Office Summit will feature 4 Billionaire & Centimillionaire Fireside Chats, 175+ investors, 75+ speakers on stage, 6 networking sessions, ...",https://familyoffices.com/sfo-summit/,65
Family Office Solutions,SFO,https://alliancebernstein.com/,,,Other,"Whether you are a Single Family Office, Multi-Family Office or Family Foundation, we're committed to helping you navigate the uncertainty of capital markets ...Read more",https://www.alliancebernstein.com/de/en-gb/institutions/capabilities/family-office.html,65
LPs,SFO,https://5-capital.com/,New York,United States,North America,"Largest Family Offices · Bessemer Trust (Multi Family Office), New York; AUM – 110Bn · Acropolis Capital Partners (Single Family Office), UK; AUM – 107Bn · Point72 ...Read more",https://www.5-capital.com/family-offices-lps-pe,75
Family Office Practice,SFO,https://daypitney.com/,New York,United States,North America,"establishment of a New York-based family office with initial investible ... single family office in various day-to-day commercial matters, including ...Read more",https://www.daypitney.com/wp-content/uploads/Day-Pitney-Family-Office-Practice-Brochure.pdf,65
Expert Wealth Global Family Office Services,SFO,https://bny.com/,,,Other,"... single family office clients, is one of the largest in the world. What should families consider when choosing a family office provider? Open communication ...Read more",https://www.bny.com/wealth/global/en/solutions/global-family-office.html,65
A Simple guide to single family office structure,SFO,https://andsimple.co/,,,Other,"The services of a single family office include tax compliance, constructing a tax plan and designing investment planning strategies that ...Read more",https://andsimple.co/guides/single-family-office/,65
London Remains a Global Family Office Hub,SFO,https://withintelligence.com/,London,United Kingdom,Europe,"Our data also provides an analysis of how Single Family Office (SFO) assets are distributed across UK non-doms, non-UK residents and those who are both resident ...Read more",https://www.withintelligence.com/insights/london-remains-a-global-family-office-hub/,65
Family Offices Based In London,SFO,https://ombainvestments.com/,London,United Kingdom,Europe,... investment strategies. FAQS. see ALL FAQS. What is a Single Family Office? A single family office acts as on behalf of one high net worth family or individual ...Read more,https://www.ombainvestments.com/family-offices-london/,65
London Office,SFO,https://cooperfamilyoffice.com/,London,United Kingdom,Europe,"Prior to joining the office Farid worked with a UK-based single family office, where he focused on sourcing direct investments and constructing multi-asset ...Read more",https://www.cooperfamilyoffice.com/copy-of-global-investments,65
"Chief Investment Officer – Single Family Office, London",SFO,https://agreusgroup.com/,London,United Kingdom,Europe,Our client is a Single Family Office looking to add a senior member of staff within their established entity in London. The position will report to the CEO ...,https://www.agreusgroup.com/chief-investment-officer-single-family-office-london-25/,65
Leading the Family Office,SFO,https://london.edu/,London,United Kingdom,Europe,"Leading the Family Office is targeted at families of wealth considering setting up, or in the process of setting up a single family office, or wanting to ...Read more",https://www.london.edu/executive-education/finance/leading-the-family-office,65
Single and Multi Family Offices,SFO,https://stonehagefleming.com/,,,Other,This paper seeks to assist families in this deliberation and will focus on the comparative merits of the Single Family Office and the Multi Family Office.Read more,https://www.stonehagefleming.com/insights/detail/single-and-multi-family-offices,75
Family Office,SFO,https://squirepattonboggs.com/,,,Other,"Family Office Insights: Professionalizing the Single Family Office: Governance, Human Dynamics and the Next Evolution of UHNW Advisory. February 2026 | Global.Read more",https://www.squirepattonboggs.com/our-expertise/services/corporate-growth-strategies/corporate/family-office/,65
Ogier services,SFO,https://ogier.com/,,,Other,"In our experience, every single family office is different and reflects the needs and interests of the family that it serves. In each case the matters for which ...Read more",https://www.ogier.com/expertise/sectors/family-office/,65
HOME,SFO,https://sfo-alliance.com/,,,Other,SFO Alliance is the world´s largest single family office peer-to-peer network for sharing insights and discussing investment opportunities.Read more,https://www.sfo-alliance.com/,65
Considering a family office? Here's what you need to know,SFO,https://rbcwealthmanagement.com/,,,Other,A multi-family office makes it possible to fund a wider range of expertise than a single family office. It also makes it easier for the professionals to provide ...Read more,https://www.rbcwealthmanagement.com/en-eu/insights/considering-a-family-office-heres-what-you-need-to-know,65
Family office audit and tax experts in London,SFO,https://pkf-l.com/,London,United Kingdom,Europe,"We offer industry specific expertise in accounting, tax planning, investment ... single family office executives. We recognise the ... London. Call ...",https://www.pkf-l.com/sectors/family-office/,65
Single Family Office Singapore,SFO,https://sovereigngroup.com/,Singapore,Singapore,Asia Pacific,Establishing a Single Family Office in Singapore is a prudent choice for high-net-worth families seeking wealth preservation and efficient asset management.Read more,https://www.sovereigngroup.com/singapore/singapores-success-at-attracting-single-family-offices/,65
Guide to Setting Up a Single Family Office (SFO) in Singapore,SFO,https://invest.edb.gov.sg/,Singapore,Singapore,Asia Pacific,Guide to Setting Up a Single Family Office (SFO) in Singapore · Overview · Set Up Process · Other Relevant Resources · How EDB Can Help.Read more,https://invest.edb.gov.sg/gov-support/sfo-setup-guide,65
Establishing a Family Office in Singapore: Structure ...,SFO,https://assets.kpmg.com/,Singapore,Singapore,Asia Pacific,A single family office (“SFO”) is one that provides services to members of the same family. This may be contrasted with a multi-family office (“MFO”) which ...Read more,https://assets.kpmg.com/content/dam/kpmg/sg/pdf/2021/11/Establishing-a-family-office-in-Singapore-Structure-considerations-and-tax-incentive-schemes.pdf,65
Establishing a Family Office in Singapore: A Complete Guide,SFO,https://aseanbriefing.com/,Singapore,Singapore,Asia Pacific,"Decide between a Single Family Office (SFO), which serves one family, or a Multi-Family Office (MFO), which caters to multiple families. Consider factors like ...Read more",https://www.aseanbriefing.com/doing-business-guide/singapore/company-establishment/family-office-establishment,65
Wealth Management,SFO,https://mas.gov.sg/,Singapore,Singapore,Asia Pacific,Wealth Management · How to set up a Single Family Office (SFO) in Singapore? · A Vibrant Hub for Diverse Business Activities and Investors · Access to Global ...Read more,https://www.mas.gov.sg/development/wealth-management,75
Find Single Family Offices in Singapore,SFO,https://fundcomb.com/,Singapore,Singapore,Asia Pacific,Find Single Family Offices in Singapore ; Iconiq Capital. Venture Capital | Single Family Office | Multi Family Office. Early Venture | Growth Venture | Late ...Read more,https://fundcomb.com/search/family-offices-investors-singapore-office,75
Understanding Singapore single family offices,SFO,https://hawksford.com/,Singapore,Singapore,Asia Pacific,What is a Singapore single family office (SFO)?. An SFO is typically an entity set up to manage the assets and financial affairs of ultra-high ...Read more,https://www.hawksford.com/insights-and-guides/singapore-single-family-office,65
Setting Up a Family Office in Singapore,SFO,https://rsm.global/,Singapore,Singapore,Asia Pacific,Tax Incentives Schemes for Single Family Office Setup in Singapore ; Criteria. Section 13O Scheme. Section 13U Scheme ; Assets Under Management ( ...Read more,https://www.rsm.global/singapore/insights/setting-family-office-singapore,65
How to propel Singapore's growth as a family office hub,SFO,https://ey.com/,Singapore,Singapore,Asia Pacific,"According to the 2022 EY Single Family Office Study, 44% of respondents plan to exclude investments that do not align with the family's ethics and values.Read more",https://www.ey.com/en_sg/insights/family-enterprise/how-to-propel-singapores-growth-as-a-family-office-hub,65
Setting Up a Single Family Office in Singapore,SFO,https://kaizencpa.com/,Singapore,Singapore,Asia Pacific,How to Set Up the Structure of a Single Family Office in Singapore？ A simplified description of the ownership structure of a typical family office is shown in ...Read more,https://www.kaizencpa.com/Mobile/Knowledge/info/id/768.html,65
The Ultimate Guide to Setting Up a Single Family Office (SFO) in ...,SFO,https://bestar-sg.com/,Singapore,Singapore,Asia Pacific,"The Ultimate Guide to Setting Up a Single Family Office (SFO) in Singapore (2026 Edition) ... Singapore ... investments fall under ""Designated Investments"" to keep ...",https://www.bestar-sg.com/post/the-ultimate-guide-to-setting-up-a-single-family-office-sfo-in-singapore-2026-edition,65
Safe & flexible Family Office,SFO,https://dmcc.ae/,Dubai,United Arab Emirates,Middle East,"The structure of a Single Family Office typically includes a core team that oversees investments, trusts, estate planning, and often lifestyle management. This ...Read more",https://dmcc.ae/business/family-office,65
Single Family Office: The Ultimate Solution for Affluent ...,SFO,https://krestonmenon.com/,,,Other,Secure & Grow Affluent Family Wealth: Discreet & Personalized Single Family Office Services. Achieve your financial goals with tailored expertise.,https://www.krestonmenon.com/single-family-office-effective-solution-for-managing-affluent-family-wealth/,65
Single Family Office vs. Multi,SFO,https://dubaicompanysetup.info/,Dubai,United Arab Emirates,Middle East,The key benefits of a Single Family Office in Dubai include complete control over investment decisions and wealth management strategies.Read more,https://dubaicompanysetup.info/articles/single-family-office-vs-multi-family-office-in-dubai-whats-the-difference/,67
Top,SFO,https://kevincrowther.com/,Dubai,United Arab Emirates,Middle East,"Simplify, protect and grow your family wealth with expert single-family office services. Kevin Crowther provides HNWIs and ultra-HNW families in Dubai with.",https://kevincrowther.com/services/single-family-office/,65
Dubai World Trade Centre,SFO,https://dwtc.com/,Dubai,United Arab Emirates,Middle East,Single Family Office ... The SFO must be 100% owned by the same family and 100% of the SFO shareholding must be held by lineal descendants of the family.Read more,https://www.dwtc.com/en/free-zone/set-up-your-business/family-offices/,65
Family Office Dubai: What It Is and Why HNW ...,SFO,https://mhgwealth.com/,Dubai,United Arab Emirates,Middle East,"There are two main types of family offices: Single Family Office (SFO): Created for one family, offering full control and bespoke management. Multi-Family ...Read more",https://mhgwealth.com/insights/what-is-a-family-office-and-why-hnw-families-in-dubai-are-setting-them-up/,65
The Rise Of The Institutionalised Family Office In ...,SFO,https://ifcreview.com/,,,Other,"In order to be eligible, a family seeking to establish a single family office in the DWTC must have minimum liquid assets of USD 500,000. Abu ...Read more",https://www.ifcreview.com/2025/07/the-rise-of-the-institutionalised-family-office-in-the-middle-east-2/,65
DIFC Family Office Setup : Wealth Structuring f… (2026),SFO,https://kayrouzandassociates.com/,,,Other,"A Single Family Office serves one family exclusively. Under the DIFC Family Arrangements Regulations 2024, SFOs can provide a broad range of ...Read more",https://www.kayrouzandassociates.com/insights/dific-family-office-setup-2025,65
Establishing a Single Family Office in Dubai,SFO,https://cavenwellgroup.com/,Dubai,United Arab Emirates,Middle East,"Discover the advantages of establishing a Single Family Office in Dubai. Explore options in DIFC, DWTC, and DMCC.",https://cavenwellgroup.com/insights/establishing-a-single-family-office-in-dubai,65
The New Hub For Single Family Offices Is UAE,SFO,https://altoo.io/,Dubai,United Arab Emirates,Middle East,Dubai – the world's financial Hub that is increasingly attractive to the wealthy People ... Single Family Office · Trusts and Foundations · Private Bankers and ...Read more,https://altoo.io/the-new-hub-for-single-family-offices-is-uae/,65
FAMILY OFFICE,SFO,https://fblibrary.dubaichamber.com/,Dubai,United Arab Emirates,Middle East,Access a diverse range of services without the overhead costs of running a Single Family Office. • Flexibility with services tailored to the unique needs of ...Read more,https://fblibrary.dubaichamber.com/wp-content/uploads/2024/06/Toolkit_Family_Office.pdf,65
Family Offices: UAE VS INDIA,SFO,https://spectrumaccounts.com/,Dubai,United Arab Emirates,Middle East,"A family office is a dedicated, private organization that manages all financial, investment ... (Single Family Office, SFO) or several wealthy ...Read more",https://www.spectrumaccounts.com/family-offices-uae-vs-india/,65
Establishing a Single Family Office in Switzerland,SFO,https://alpenpartners.com/,,,Other,"Establishing a Single Family Office in Switzerland: Options for a Discreet and Effective Structure · Integrated, modular family office services.Read more",https://alpenpartners.com/us/insights/establishing-a-single-family-office-in-switzerland-options-for-a-discreet-and-effective-structure/,65
Zurich Family Office Network,SFO,https://gpfo.com/,Zurich,Switzerland,Europe,"Benchmark family office operations, investments and compensation with instant access to the right data. ... Single Family Office. Hamburg, Germany. Apply.Read more",https://www.gpfo.com/jurisdictions/zurich,65
