fo_name,fo_type,website,hq_city,hq_country,hq_region,description,source_url,confidence_score
List of Single Family Offices in Switzerland,SFO,https://archive.investmentoffice.com/,,,Other,"List of Single Family Offices in Switzerland ; aeris CAPITAL AG. 8808 Pfäffikon ; Anewa AG. Single Family Office, Stephan Schmidheiny Family 8640 Hurden ; ARfinanz ...Read more",https://archive.investmentoffice.com/io/Family_Offices/Family_Offices_Switzerland/Single_Family_Offices/List_of_Single_Family_Offices_in_Switzerland.php,65
Swiss Single Family Office Association: Home,SFO,https://sfoa.ch/,,Switzerland,Europe,Be part of a world leading Single Family Office ecosystem with a focus on privacy and trusted relationships. We welcome Single Family Offices of any size with a ...Read more,https://www.sfoa.ch/home,65
A Guide to Establishing a Family Office,SFO,https://privatebank.citibank.com/,,,Other,One often overlooked benefit of a single family office is the ability to create a more formal network of employees and advisors that best reflects the values ...Read more,https://www.privatebank.citibank.com/ivc/docs/A-guide-to-establishing-a-family-office.pdf,65
Family Office Strategies for Intergenerational Wealth,SFO,https://masttro.com/,,,Other,Single Family Office (SFO). SFOs provide tailored family office services—from tax planning and estate planning to concierge services and direct investments ...Read more,https://masttro.com/insights/strategies-for-family-offices,65
A guide to navigating the multi family office landscape,SFO,https://centrolaw.ch/,,Switzerland,Europe,"The choice between a single family office, a commercial multi family office, or a closed multi family office depends on many factors, including the family's ...Read more",https://www.centrolaw.ch/en/insights/detail/navigating-the-multi-family-office-landscape,75
Frequently Asked Questions (FAQ),SFO,https://familyofficehk.gov.hk/,Hong Kong,Hong Kong,Asia Pacific,"A genuine single family office arrangement, established to serve the investment needs of members of a single family, which is not being run as a business ...Read more",https://www.familyofficehk.gov.hk/en/fohk-team-help/frequently-asked-questions-faq/index.html,65
The Evolution of Family Office Structures in Hong Kong,SFO,https://charlesrussellspeechlys.com/,Hong Kong,Hong Kong,Asia Pacific,"single family office structures. In addition to those mentioned above, there are some other key advantages to using HK structures for FIHVs ...Read more",https://www.charlesrussellspeechlys.com/en/insights/expert-insights/financial-services/2025/the-evolution-of-family-office-structures-in-hong-kong--a-strategic-guide-to-regulatory-and-structuring-considerations.--part-2--structuring-considerations,65
Tax Concession for Hong Kong Single Family Offices (1/3),SFO,https://alvarezandmarsal.com/,Hong Kong,Hong Kong,Asia Pacific,Requirements of the Single Family Office (“SFO”). Notes: 1. A SFO that only serves the family is not required to obtain a license. 2. A charitable entity is ...Read more,https://www.alvarezandmarsal.com/sites/default/files/2023-10/429580_TAX-ASIA_Asia%20Tax%20Update%20Family%20Office_R3%20FINAL.pdf,65
Why Family Offices Choose Hong Kong: Tax Concessions ...,SFO,https://zedra.com/,Hong Kong,Hong Kong,Asia Pacific,"Single Family Office ... A modern SFO potentially comprises of a investment holding entity, potentially held for the family within a trust ...Read more",https://www.zedra.com/insights/why-family-offices-choose-hong-kong-tax-concessions-structure/,65
PwC Hong Kong: Family offices,SFO,https://pwchk.com/,Hong Kong,Hong Kong,Asia Pacific,"... family office, whether the objective is to operate a single family office or a multi family office. Download the roadmap to establishing a Family Office ...Read more",https://www.pwchk.com/en/industries/financial-services/asset-and-wealth-management/family-office.html,75
Family Offices in Hong Kong: Comprehensive Financial ...,SFO,https://charltonslaw.com/,Hong Kong,Hong Kong,Asia Pacific,Genuine single family office arrangements are typically not ... A multi-family office which has not been delegated full discretionary investment ...Read more,https://www.charltonslaw.com/our-work/private-wealth-trusts-family-offices/family-offices-in-hong-kong-comprehensive-financial-services-for-high-net-worth-families/,65
FSTB and InvestHK jointly attract over 200 family offices to ...,SFO,https://info.gov.hk/,Hong Kong,Hong Kong,Asia Pacific,single family office can be counted towards the value of the applicant's eligible investments. ... As Hong Kong's family office ecosystem ...Read more,https://www.info.gov.hk/gia/general/202509/15/P2025091500314.htm,65
Hong Kong Striving to Become a Leading Global Family ...,SFO,https://kwm.com/,Hong Kong,Hong Kong,Asia Pacific,"The aggregate value of assets managed by a single family office for the FIHV (or multiple FIHVs) of a family must be at least HK$240 million, ...Read more",https://www.kwm.com/hk/en/insights/latest-thinking/family-office-latest-policy-developments.html,65
Dancap Family Investment Office,SFO,https://dancap.ca/,Toronto,Canada,North America,"Founded in the year 2000, Dancap Family Investment Office is a Single Family Office that manages the investment portfolio for Aubrey Dan.Read more",https://dancap.ca/,65
Family Offices,SFO,https://pinnaclefundservices.com/,,,Other,"Whether it's a single family office, or multi-family office, we have solutions that help increase accuracy and transparency through high-quality and custom ...Read more",https://pinnaclefundservices.com/services/family-office/,65
List of the Best Family Offices,SFO,https://openvc.app/,,,Other,A single family office manages the assets of a single family and is often highly customized to that family's priorities and values. SFOs tend to make investment ...Read more,https://www.openvc.app/investor-lists/family-offices,65
Family Office Summit 2023,SFO,https://caasa.ca/,,Canada,North America,Working in a single family office is not your typical investment management job – you gain the benefit of a sometimes extremely flat organizational structure ...Read more,https://caasa.ca/archives/events/family-office-summit-2023,65
"Top Single Family Office in Canada (Jan, 2026)",SFO,https://tracxn.com/,,,Other,"Which is the largest Single Family Office in Canada? Canada's largest Single Family Office is Thomvest Ventures, with 101 investments till date.Read more",https://tracxn.com/d/investor-lists/single-family-offices-in-canada/__9k4HU7aHFNR99xoGlGny4MT8yLY7P0ys8vSkcz-W7Hs,65
What are the Types of Family Offices?,SFO,https://tiger21.com/,,,Other,Single Family Office. Single family offices (SFOs) are private entities established by a single wealthy family to exclusively manage their ...Read more,https://tiger21.com/insights/types-of-family-offices/,65
What family offices are investing in,SFO,https://fullbridgecapital.com.au/,,Australia,Asia Pacific,The single family office model is probably how family offices are best known. ... For those wanting a trial run at investing like a family office ...Read more,https://fullbridgecapital.com.au/insights/what-family-offices-are-investing-in/,65
Saint Leonard Single Family Office,SFO,https://slsfo.com/,,,Other,"SINGLE FAMILY OFFICE. Investment vehicle of the Cavanagh Family. Saint Leonard history. Patriarch, Robert William Cavanagh ( 1926-2017) entrepreneur, cattleman ...Read more",https://slsfo.com/,65
Australia Family Office Comparative Guide,SFO,https://mondaq.com/,,,Other,Single family office: Typically structured as: a company;; a discretionary trust;; a unit trust; or; a hybrid structure (or a group thereof).Read more,https://www.mondaq.com/guides/results/70/113/all/australia-family-office,65
Family Office Insider (FOI),SFO,https://familyofficeinsider.substack.com/,Zurich,Switzerland,Europe,"Investment Operations - Single Family Office - Sydney, Australia. Head of Single Family Office - Single Family Office - Zurich, Switzerland.Read more",https://familyofficeinsider.substack.com/p/family-office-insider-foi-july-2025,65
The Family Office Sherpa,SFO,https://podcasts.apple.com/,,,Other,"As the name suggests, I act as a guide for those seeking to establish or improve their single family office. Part of the Mr Family Office podcast network ...Read more",https://podcasts.apple.com/us/podcast/the-family-office-sherpa/id1749223380,65
"You're rich, but are you family office rich?",SFO,https://afr.com/,,,Other,"Families of significant wealth, with a minimum investible wealth of $500 million, prefer to adopt a single family office model to serve their ...Read more",https://www.afr.com/rich-list/you-re-rich-but-are-you-family-office-rich-20231013-p5ec2s,65
What is a family office? Why you need one and how it works,Unknown,https://servcorp.com.au/,,Australia,Asia Pacific,Single-Family Office (SFO): An SFO is a private wealth management entity that serves one affluent family. It provides personalized services ...Read more,https://www.servcorp.com.au/en/blog/business-networking/what-is-a-family-office-why-you-need-one-and-how-it-works/,67
The,SFO,https://familybusinessassociation.org/,,,Other,Hybrid Family Office / Single Family Office. 7. Hybrid Family Office - Characteristics. •Blend between using a MFO and small # of family office employee(s).,https://familybusinessassociation.org/publicassets/a2368a37-6d3b-f011-914e-005056969859/The-Role-of-Family-Offices-in-Shaping-the-Future-of-Family-Businesses-and-Business-Families.pdf,65
Wealth Management and Multi,Unknown,https://amadeus.ch/,,Switzerland,Europe,"Originally a Single-Family Office, Amadeus Capital has evolved into a wealth and investment management boutique, blending human insight with technology to ...Read more",https://www.amadeus.ch/,65
European Single Family Office Symposium,SFO,https://register.institutionalinvestor.com/,,,Other,"Our 13th Annual European Single Family Office Symposium promises to continue this tradition of innovation, collaboration, and intellectual exchange among this ...Read more",https://register.institutionalinvestor.com/european-single-family-office-symposium,65
"Family Office Location Guide 2026: Singapore, UAE ...",SFO,https://capitalfounders.io/,Singapore,Singapore,Asia Pacific,0% tax concession regime for qualifying single family office investment vehicles since May 2023. 4. Tax Regime. Strengths: Progressive ...Read more,https://www.capitalfounders.io/playbooks/family-office-location-guide/,65
Contact,SFO,https://venturebanc.com/,Geneva,Switzerland,Europe,"Contact Reflexive Investments SA (Single Family Office), Family Office in Geneve, Geneva Switzerland.",https://www.venturebanc.com/switzerland/geneve/reflexive-investments-sa-single-family-office/connect,65
San Francisco Family Office,SFO,https://hyphah.com/,San Francisco,United States,North America,"UHNW Single Family Office (SFO) in the San Francisco Bay Area will start investing in VC again in 2024, after expected distributions.",https://www.hyphah.com/profiles/single-family-office-sanfrancisco-post009,65
Vernal Point,SFO,https://vernalpoint.com/,,,Other,"An aligned, integrated solution. We define a single family office not as a captive set of employees, but at as a highly aligned, dynamic and well-integrated ...Read more",https://www.vernalpoint.com/,65
THE NORTH AMERICA FAMILY OFFICE REPORT 2023,SFO,https://campdenwealth.com/,,,Other,"They are not active investors, they just let their wealth compound over time.” Chief executive officer, single family office, TX. “Family offices invest for the ...Read more",https://www.campdenwealth.com/sites/default/files/GFO_NA_2023_D.pdf,65
About IQ,SFO,https://iqeq.foleon.com/,,,Other,"We're IQ-EQ, a top-tier global investor services group with an unrivalled offering to meet the administration, compliance and reporting needs of the private ...",https://iqeq.foleon.com/brochure/familyoffice/about-iq-eq,65
"Real estate investments: Challenging, but still popular",SFO,https://thefopro.com/,,,Other,"He serves on the board of Sirrom Partners, a single family office based in Nashville, Tennessee. Office real estate is a challenging market ...Read more",https://thefopro.com/real-estate-a-challenging-yet-still-popular-investment-for-family-offices/,65
Multi,Unknown,https://affinityco.com/,London,United Kingdom,Europe,"Affinity delivers multi-family office services for US and Latin American families via Miami, integrating offshore wealth planning and corporate structuring.Read more",https://www.affinityco.com/multi-family-office-services,65
Top 100 Multi Family Office Managers by Managed AUM,MFO,https://swfinstitute.org/,,,Other,View the largest 100 multi-family-office profiles from across the globe ranked by Total Managed AUM.,https://www.swfinstitute.org/fund-manager-rankings/multi-family-office,65
Key Considerations for Working With a Family Office,SFO,https://pwm.gs.com/,,,Other,"A multi-family office, such as the Goldman Sachs Private Family Office, provides the same type of service as a single family office, but they ...Read more",https://pwm.gs.com/nam/en-us/insights/wealth-planning/family-governance/key-considerations-for-working-with-a-family-office,65
Balancing Strategy and Sensitivity in Multi,Unknown,https://worldef.com/,,,Other,"... wealth management sector. Conclusion. The evolving landscape of multi-family office management requires a nuanced balance between strategic rigor, client ...",https://worldef.com/2025/09/19/balancing-strategy-and-sensitivity-in-multi-family-offices/,65
Asia–Pacific's family office boom: Opportunity knocks,MFO,https://mckinsey.com/,Singapore,Singapore,Asia Pacific,multi family office that leverages Singapore's Variable Capital Company (VCC) structure. It offers an alternative option for affluent ...Read more,https://www.mckinsey.com/industries/financial-services/our-insights/asia-pacifics-family-office-boom-opportunity-knocks,65
Embedded Family Offices in Asia: Moving Beyond ...,MFO,https://ffipractitioner.org/,,,Other,"Multi-Family Office (MFO). What: A shared platform serving multiple families, typically focused on professionalized wealth management and asset ...Read more",https://ffipractitioner.org/embedded-family-offices-in-asia-moving-beyond-enmeshment/,65
Multi Family Office,MFO,https://jia-asia.com.sg/,,Singapore,Asia Pacific,"Multi Family Office ... At JIA, we provide family office services to high and ultra-high net worth (HNW/UHNW) individuals and cater for all aspects of their ...Read more",https://www.jia-asia.com.sg/business/multi-family-office/,65
Direct Investments,SFO,https://hobanfamilyoffice.com/,,,Other,"Direct Investments. The Hoban Family Office (HFO) is a single family office with a direct investment mandate covering real estate, operating businesses, and ...Read more",https://hobanfamilyoffice.com/direct-investments/,65
The Family Office,Unknown,https://tfoco.com/,,,Other,The Family Office provides tailored wealth management ... Our Investment Solutions. Tailored Portfolio Solutions. Direct Investments in Private Markets.Read more,https://tfoco.com/en,65
Family Office Software,SFO,https://archwaytechnology.net/,,,Other,... single family office software solution. Discover how our family office solutions can help you track and report on multi-generational wealth. Learn More.Read more,https://www.archwaytechnology.net/family-office-accounting-software,65
The 7 options for family offices to invest in technology ...,SFO,https://teten.com/,,,Other,"Rami Idriss, Managing Director, Aurora Asset single family office, said, “For family offices, their technology investment direction should be a ...Read more",https://teten.com/7-options-for-family-offices-to-invest-in-tech-companies/,65
What is a Single Family Office?,SFO,https://asseta.ai/,,,Other,"A single family office provides ultra-wealthy families with full control over investments, governance, and wealth planning through a private ...",https://www.asseta.ai/resources/what-is-a-single-family-office,65
From Family Office to Investment Platform,SFO,https://lemonedge.com/,,,Other,"Historically, this firm served as the investment manager for a single family office, leveraging existing employees, processes, and technology.",https://www.lemonedge.com/case-studies/family-office-to-multi-family-admin,65
Introduction to Software Solutions for Family Offices in 2025,SFO,https://futurefamilyoffice.net/,,,Other,Single Family Office Considerations. Single family offices should prioritize software solutions offering comprehensive portfolio management with scalable ...Read more,https://futurefamilyoffice.net/software-2025/,65
How to Start a Single Family Office,SFO,https://karmanbeyond.com/,,,Other,"To start a single-family office, define its purpose, assess complexity, design governance, build infrastructure, hire talent, ...",https://karmanbeyond.com/how-to-start-a-family-office/,65
"As private credit begins to sway, family offices look for ...",Unknown,https://moodys.com/,Zurich,Switzerland,Europe,5UBS (2025) Global Family Office Report. Zurich: UBS Global Wealth Management. Available at: https://www.ubs.com/global/en/family-office ...Read more,https://www.moodys.com/web/en/us/insights/credit-risk/private-credit/as-private-credit-begins-to-sway-family-offices-look-for-steady-ground.html,65
2024 Investment Insights for Single Family Offices,SFO,https://info.bnymellonwealth.com/,,,Other,"More than 60% of family office portfolios are currently allocated to three asset classes: Private Equity (fund, direct and venture capital), Public Equity and.Read more",https://info.bnymellonwealth.com/rs/636-GOT-884/images/GFO_Investment_Research_Report_2024_BNY_Mellon_WM.pdf,65
Private Wealth in Private Credit Part 1: What Families Value,Unknown,https://bluemontassoc.com/,,,Other,"SFOs are significant investors into private markets, with JPMorgan's 2024 Global Family Office Report touting average SFO alternatives exposure of 45%.",https://www.bluemontassoc.com/insights/talentblueprint5,65
Family Office Wealth Management Services,Unknown,https://ceritypartners.com/,,,Other,"Cerity Partners can serve as—or augment—your family office, providing wealth management and investment strategies as well as comprehensive financial ...",https://ceritypartners.com/individuals-and-families/family-office/,65
